chembl_id,smiles
CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
CHEMBL49080,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
CHEMBL1691,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl
CHEMBL1625607,CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1
CHEMBL412873,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1
CHEMBL1185,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL1201319,C[C@H](N)[C@H](O)c1cccc(O)c1
CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
CHEMBL1200449,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl
CHEMBL1747,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O
CHEMBL501,CC(N)Cc1ccccc1.O=S(=O)(O)O
CHEMBL400599,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
CHEMBL1354,CC(=O)[O-].[Na+]
CHEMBL1201112,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
CHEMBL2105638,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
CHEMBL1697856,CCOc1ccc(NC(=O)CC(C)O)cc1
CHEMBL278819,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1
CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL1618102,CCCC[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
CHEMBL1475,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
