,molecule_chembl_id,IC50,units,smiles,pIC50
3314,CHEMBL4776730,124.0,nM,CC(C)(C)c1cc(NC(=O)CCl)no1,6.906578314837764
3315,CHEMBL53121,124.0,nM,Fc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,6.906578314837764
3316,CHEMBL3671530,125.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(C)N(C)C,6.903089986991944
3317,CHEMBL466614,125.0,nM,CCNC(=O)O[C@@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,6.903089986991944
3318,CHEMBL3671578,125.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1=NCCO1,6.903089986991944
3319,CHEMBL4283097,125.0,nM,COc1ccc(OC)c(Nc2cc(NCCc3cccs3)ncn2)c1,6.903089986991944
3320,CHEMBL76589,125.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.903089986991944
3321,CHEMBL598406,125.6,nM,COc1cc2ncnc(N[C@@H](C)c3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,6.901010360598823
3322,CHEMBL3676380,126.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(CO)N(C)C,6.899629454882437
3323,CHEMBL5184048,126.0,nM,C=CC(=O)N1CCC(Oc2nc(Nc3ccn(C)n3)nc3ccsc23)CC1,6.899629454882437
3324,CHEMBL29641,126.7,nM,COc1cc2ncnc(Nc3cccc(SC)c3)c2cc1OC,6.8972233851165585
3325,CHEMBL2333991,126.7,nM,COc1cc2ncnc(Nc3cccc(-c4ccccc4)c3)c2cc1OC,6.8972233851165585
3326,CHEMBL4639459,126.8,nM,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F,6.896880746454286
3327,CHEMBL249509,126.9,nM,C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.896538377905295
3328,CHEMBL3981041,127.0,nM,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)ncnc2cc1OC,6.896196279044043
3329,CHEMBL3671521,128.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(C)C,6.892790030352131
3330,CHEMBL4228848,128.0,nM,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C(=O)N4CCOCC4)cc3OC)n2)c1,6.892790030352131
3331,CHEMBL92174,128.0,nM,COc1cc2ncnc(Nc3ccccc3Br)c2cc1OC,6.892790030352131
3332,CHEMBL3671559,128.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC1CCCN(C(C)=O)C1,6.892790030352131
3333,CHEMBL1928948,129.0,nM,CCOC(=O)/C=C/C(=O)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,6.889410289700751
3334,CHEMBL606403,129.0,nM,CC(C)c1nsc(C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)n1,6.889410289700751
3335,CHEMBL4740234,130.0,nM,C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)nc3)ncc2Cl)c1,6.886056647693163
3336,CHEMBL523573,130.0,nM,COCCN1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,6.886056647693163
3337,CHEMBL3612590,130.0,nM,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3cc21,6.886056647693163
3338,CHEMBL4785849,130.0,nM,C=C(Cl)C(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)ncc2Cl)c1,6.886056647693163
3339,CHEMBL3234745,130.0,nM,CCNc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,6.886056647693163
3340,CHEMBL3759127,130.0,nM,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,6.886056647693163
3341,CHEMBL115187,130.0,nM,CCCN(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)CCC,6.886056647693163
3342,CHEMBL1173815,130.0,nM,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(O)cc3)C2)cc1C,6.886056647693163
3343,CHEMBL3085381,130.0,nM,CCN(CC)[C@@](C)(CCc1ncnc2cc(OC)c(OC)cc12)Cc1ccccc1,6.886056647693163
3344,CHEMBL1645475,130.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4cc(Cl)cc(Cl)c4)c23)CC1,6.886056647693163
3345,CHEMBL398793,130.0,nM,CC1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,6.886056647693163
3346,CHEMBL3899216,130.0,nM,Cc1cc(NS(=O)(=O)c2ccc(Nc3nncc4ccccc34)cc2)no1,6.886056647693163
3347,CHEMBL120069,130.0,nM,Cc1cccc(Nc2[nH]cnc3nnc(Nc4cccc(Cl)c4)c2-3)c1,6.886056647693163
3348,CHEMBL120319,130.0,nM,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,6.886056647693163
3349,CHEMBL452717,130.0,nM,COc1ccccc1Cc1nc2ccc(-c3nn([C@H]4CC[C@H](N5CCN(C(C)=O)CC5)CC4)c4ncnc(N)c34)cc2[nH]1,6.886056647693163
3350,CHEMBL246072,130.0,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COCC6CCNCC6)c45)ccc32)c1,6.886056647693163
3351,CHEMBL4077608,130.0,nM,FC(F)(F)c1nnc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)s1,6.886056647693163
3352,CHEMBL3133899,130.0,nM,C=CC(=O)N1CCc2c(sc3ncnc(Nc4ccc(CC)cc4)c23)C1,6.886056647693163
3353,CHEMBL234577,130.0,nM,CN1CCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,6.886056647693163
3354,CHEMBL321494,130.0,nM,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,6.886056647693163
3355,CHEMBL5087214,130.3,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(Cc3ccccc3)nc3cnc(Nc4ccc(OC)cc4)nc32)c1,6.885055584287415
3356,CHEMBL473320,131.0,nM,COc1cc2ncnc(-c3c[nH]c4ccc(Br)cc34)c2cc1OC,6.882728704344236
3357,CHEMBL1379917,131.0,nM,O=C(Nc1cc(N2CCOCC2)ncn1)c1ccc(F)cc1,6.882728704344236
3358,CHEMBL2112370,131.0,nM,COC[C@@H]1CCCN1C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.882728704344236
3359,CHEMBL3753836,131.09,nM,COc1cc(NC(=O)Nc2ccncc2)cc(-c2cccnc2)c1OC,6.882430436536172
3360,CHEMBL3958482,132.0,nM,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1NC(=O)/C=C/CN1CCCCC1,6.8794260687941495
3361,CHEMBL553137,132.0,nM,Cl.Cn1c2ccccc2c2ncnc(Nc3cccc(Br)c3)c21,6.8794260687941495
3362,CHEMBL4527715,133.0,nM,C=CC(=O)N(c1cc(Cl)ccc1F)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,6.876148359032914
3363,CHEMBL4072928,133.1,nM,S=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.875821944525325
3364,CHEMBL3622642,133.9,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)cc3)ncnc2cc1O[C@H]1CCOC1,6.873219422987991
3365,CHEMBL3622623,134.9,nM,C=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.869988050328096
3366,CHEMBL5171318,135.0,nM,C=CC(=O)N1CCC(Oc2nc(Nc3cnn(C)c3)nc3ccsc23)CC1,6.8696662315049934
3367,CHEMBL4849859,136.0,nM,COc1ccc(/C=C2/SC(NN3Cc4ccccc4N=C3c3ccccc3)=NC2=O)cc1,6.866461091629782
3368,CHEMBL3671532,136.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CNC,6.866461091629782
3369,CHEMBL3934539,136.0,nM,CCC(=O)Nc1cc2c(NCc3ccccc3)ncnc2cc1OC,6.866461091629782
3370,CHEMBL5087793,136.9,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(C3CCCC3)nc3cnc(Nc4ccc(OCCOC)cc4)nc32)c1,6.86359655186601
3371,CHEMBL4073912,137.0,nM,FC(F)(F)c1csc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)n1,6.863279432843593
3372,CHEMBL2086760,137.0,nM,CCN1CCC(Nc2ccc3c(c2)C(=C(c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,6.863279432843593
3373,CHEMBL3775046,137.9,nM,O=C1COc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc2N1CCCN1CCCCC1,6.860435733824151
3374,CHEMBL481331,138.0,nM,CS(=O)(=O)CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,6.860120913598763
3375,CHEMBL4458344,138.0,nM,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1,6.860120913598763
3376,CHEMBL3233780,139.0,nM,CCN(CC)CCN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,6.856985199745905
3377,CHEMBL119033,139.0,nM,COc1cccc2ncnc(Nc3cccc(Br)c3)c12,6.856985199745905
3378,CHEMBL9470,139.2,nM,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,6.856360764725457
3379,CHEMBL4087241,140.0,nM,CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.853871964321762
3380,CHEMBL3926223,140.0,nM,NS(=O)(=O)c1ccc(Nc2nncc3ccccc23)cc1,6.853871964321762
